"English Term","Arabic Term","Arabic Definition"
"To The Victor, The Spoils","الغنائم للمنتصر","هو شعار أمريكي يخص الحزب الذي يتسلم الحكم والذي يقوم بمكافأة مؤيديه وأتباعه بالمناصب الحكومية. وهذا الشعار انتشر في كثير من النظم السياسية."
"Tool Of New – Colonialism","أداة الاستعمار الجديد","أداة الاستعمار الجديد هو مصطلح سياسي، كان أول من أطلقه مؤتمر القمة الأفريقي الذي عقد بالدار البيضاء بالمغرب عام ١٩٦١ م، حيث ندد في قرارته بإسرائيل باعتبارها تمثل أداة الاستعمار الجديد ليس في الشرق الأوسط وحده ولكن في كل العالم الثالث من أفريقيا وآسيا وكذلك اعتبار المشكلة الفلسطينية مشكلة أفريقية أيضا ً."
"Torah / Old Testament","التوراة)) العهد القديم (","تسمى التوراه أو العهد القديم، وهي كتاب سماوي أنزل على سيدنا موس ى عليه السلام، وفيه حكم االله لليهود ومن بعدهم المسيحيين، وأخبر فيه عن نزول سيدنا محمد عليه الصلاة والسلام وعن القرآن الكريم، وترجم عن العبرية في القرنين الثامن والتاسع الميلادي، وهناك التلمود وهي التعاليم التي وضعت لليهود لممارسة حياتهم اليومية وتحديد أسلوب تعاملهم مع الشعوب، ويتكون التلمود من خمسة وثلاثين جزءا في خمسة وثلاثين مجلدا ً، والتلمود عبارة عن المشناة وهي تفسير الشريعة الشفوية، والجمارة هي شرح للمشناة، ويتضمن التلمود مجموعة من الأفكار التي تكرس مبدأ الاستقلال والتفرد والحقد على الشعوب والإعلاء من ش أن اليهود كشعب االله المختار."
"Tories","توري","الاسم الق ديم لحزب المحافظين البريطاني، والاسم الشعبى لأقوى الأحزاب البريطانية، وحزب المحافظين كان يطلق عليه الحزب المتمسك بسياسة الامبراطورية إلى أقصى حدودها الثورية قبل تغيير اسمه لحزب المحافظين، ويقابله حزب الهويج، ويطلق علي المتطورين وهو يساعد الطبقات العاملة ويدافع عن حقوقها، وتغير اسمه حاليا ً لحزب العمال."
"Totalitarianism","التوتاليتارية","مصطلح يعبر عن النزعة الأفلاطونية التي تعلن أن) السلطان الكلي يكون للدولة (، من خلال نظام قانوني شديد صارم وغير مرن، وهو عكس الفوضوية."
"Totaliterianism","الشمولية","هو نمط مثالي من أنماط علم الاجتماع السياسي نادى به كثير من العلماء والك ُتاب الأوربيين والأمريكيين، ويتطلب وجود عقيدة سياسية رسمية ومتطورة واحدة في المجتمع ووجود حزب سياسي واحد محتكر للقوة السياسية في المجتمع ويعمل هذا الحزب على تطبيق العقيدة السياسية وتنشئة المجتمع على أساسها ووجود خط سياسي فاصل بين القادة وغير القادة ويمكن عبوره ذا الخط بشروط عقائدية وقيام النظام السياسي على أساس التعبئة السياسية الدائمة من أجل تحقيق الأهداف الدائمة للعقيدة السياسية، ويطلف لفظ شمولي على أي نظام سياسي ينفذ سياسة الحزب الواحد والعقيدة الواحدة."
"Totemism","الطوطمية","مصطلح مرتبط بالشمولية Totalitarianism ، ويتوسط بين إلحاق الضرر Torts والشمولية، وتوصف به بعض المجتمعات ذات الاتجاه الشمولي./ أنظر الشمولية."
"Towards Colonial Freedom","نحو تحرير المستعمرات","من أهم كتب الزعيم الغاني كوامي نكروما الذي نشره عام ١٩٤٢ م وتحمل آراؤه التي دافع عنها وعمل على تنفيذها ونفذ الكثير منها قبل مماته، والتي يطلب فيه تعاون كامل من كل الهيئات الحكومية وتكاتف من كل أبناء الشعوب للت خلص من الاستعمار."
"Tract","منشور","وهو نشرة تطبع وتوزع لنشر دعاية أو دعاية مضادة سواء أكانت سياسية أو اجتماعية أو دينية أو أيدلوجية أو حتى تجارية."
"Traditional Authority","السلطة التقليدية","وهي السلطة التي تنهض على إيمان راسخ في التقاليد المستمرة وفي شرعية الأوضاع والمراكز المستمرة وتخضع لتأثير حكم المعتقدات والعادات بدلا ً من القوانين، ويعتمد الحكم على المكانة الموروثة بدلا ً من الصفات والكفاءات، ويكون الحكم شخصي."
"Traditional Power Politics","سياسة القوة التقليدية","وهي السياسة التي كانت تسود النظام العالمي في الخمسينات والتي هيمنت عليها الحرب الأيدلوجية الباردة، والتي كانت تعتمد على القوة كأساس في العلاقات الدولية وكأساس للمكانة الدولية. وهناك السياسة المحلية Local Politics و هي إحدى مستويات النشاط السياسي،وهو المستوى الأدني الذي يتقرر فيه من يحصل على ماذا ومتى وكيف؟،أي أنها إعطاء جزء من النشاط السياسي للجماعات المحلية."
"Traditionalist Movements","المحافظة على التقاليد","هي حركات قومية في بعض البلدان الخارجة من الاستعمار أو المقاومة له، حيث تبدأ للحفاظ على هويتها في التأكيد على طابعها المميز وتقاليدها المتفردة وتراثها العريق، من أجل شحذ همم أبنائها لمواصلة العمل والجهاد للارتقاء بواقع الأمة."
"Tranist","حق العبور","هو حق كفله القانون الدولي للأفراد عبر الدول سواء بريا أو بحريا أو جويا، أما قانون البحار الدولي فقد كفل هذا الحق للدول المغلقة أو الدول الداخلية التي ليس لها منفذ على البحار، فمنحها القانون حق العبور في أقاليم الدول التي تفصل بينها وبين البحر."
"Translation","ترجمة","الترجمة هي عملية نقل الكلام بنصه ومعناه من لغة إلى أخرى، وقد تكون الترجمة حرفية Loose أو بتص رف Literal ، وهناك الترجمة بالحاسبات الصغيرة التي تتم عبر الحاسبات الإلكترونية وتسمى الترجمة الآلية Mechanical Or Machine Translation."
"Transmission Of Presence","نقل الحضور","هي عملية الاشتراك في المؤتمرات عن بعد أو أن يتحاضر مع الآخرين في جدلهم وسمرهم دون أن يجتمعوا في مكان واحد عن طريق استخدام الوسائل التكنولوجية الحديثة من الفيديو كونفرانس والهاتف والإنترنت وخلافه."
"Transnation","عبر الدول","وهي المنظمات التي تشترك في عضويتها الدول، أي التي تكون الدول عض وا ً وحيدا فيه بعيدا عن المنظمات فوق الدول، ومتعددة الجنسيات."
"Treaty Of Mutual Assistance","مشروع معاهدة المساعدة المتبادلة","مشروع معاهدة دولية وافقت عليه عصبة الأمم في عام ١٩٢٣ م معلنة أن الحرب العدوانية جريمة دولية، ونبذ الدول الأعضاء للحرب كوسيلة غير مشروعة في علاقاتها الدولية، وحاولت المعاهدة الر بط بين الأمن ونزع السلاح، وفشلت هذه المعاهدة لاعتراض بريطانيا على بعض بنودها."
"Triple Entente","الوفاق الثلاثي","هو اتفاق تم بين بريطانيا وفرنسا وروسيا لاقتسام بعض م ناطق العالم، وخصوصا ً في إيران، وتسوية الخلافات التي نشأت عن التنافس الاستعماري، وكذلك تكوين كتلة سياسية وعسكرية مناهضة لألمانيا، وتم هذا الاتفاق في ٣١ أغسطس ١٩٠٧ م."
"TRIPS Trade Related Aspects Of Intelectual Property Right","التريبس","اتفاقية التريبس اختصار للاتفاقية الجوانب التجارية لحقوق الملكية الفكرية، وهي إحدى اتفاقيات الجات التي تعتبر الات فاقية العامة للتجارة بين الدول في العصر الحالي.."
"Tropics","المنطقة الحارة أو الاستوائية","تقع المنطقة الاستوائية بين مدار السرطان خط ٥،٢٣ شمالا ً ومدار الجدى خط ٥،٢٣ جنوبا ً، وهي منطقة شديدة الحرارة والأمطار ولها بيئتها النباتية المتميزة."
"Truce / Armistice","الهدنة","هي اتفاق بمقتضاه توقف العمليات الحربية لفترة مع استمرار حالة الحرب قائمة، وهي فترة للراحة وليست عملية سلام، ووفقا للقانون الدولي فإن الهدنة Truce تعني الإجراء الذي بمقتضاه ينعقد مؤتمر للتفاوض بين الأعداء، بينما الهدنة Armistice تعني اتفاقا ً فعليا ً لوقف العمليات الحربية، ونظمت اتفاقيات لاهاي عام ١٨٩٩، ١٩٠٧ هذه المسألة تحت عنوان: أعلام الهدنة Flags Of Truce ، فالهدنة تفرض إلزاما ً إيجابيا بقبول رسمى لتسوية سلمية قادمة وخطوة نحو الغاء الحرب أو استبعادها وخطوة أولية لمعاهدة سلام وحجر الزاوية للتوصل للسلام."
"Turning Points","نقاط التحول","هي مراحل التحول في المجتمعات المختلفة سياسيا ً واقتصاديا ً واجتماعيا ً، وهي تتم في أوقات تكون عصيبة في تاريخ المجتمعات، وتنت قل خلالها من مرحلة إلى مرحلة أخرى."
"Tutelage","وصاية","الوصاية هي عملية إشراف دولة أو جهاز على دولة أخرى أو جهاز آخر حتى يبلغ رشده ويستكمل نموه ويصبح قادرا ً على حكم نفسه بنفسه، وكان مجلس الوصاية من أهم أجهزة الأمم المتحدة عند إنشائها وساهم في استقلال عدد كبير من الدول في مختلف أنحاء العالم."
"U. N. Effectiyeness","فعالية المنظمة الدولية","المقصود بفاعلية المنظمة الدولية هو أن ما تتخذه المنظمة الدولية أو أي من هيئاتها من قرارات وأفعال، يكون له أثر فعال في تسوية المشكلة التي تتناولها المنظمة، أو في عمل المنظمة من أجل تحقيق الأهداف المنشأة من أجلها."
"UN Institut For Disarmament Research (UNIDIR )","معهد الأمم المتحدة لأبحاث نزع السلاح","وهو معهد دولي تابع للأمم المتحدة يقوم بإجراء أبحاث مستقلة حول قضايا نزع السلاح ويمول من ميزانية الأمم المتحدة ومن التبرعات الإجبارية."
"UNCTAD United Nations Conffference On Trade And Development","مؤتمر الأمم المتحدة بشأن التجا رة والتنمية","أُقيم هذا المؤتمر بناء على قرار الجمعية العامة للأمم المتحدة في ١٩ ديسمبر ١٩٦١ م، لبحث مشكلات التجارة العالمية، حيث عقد لأول مرة في جنيف عام ١٩٦٤ م، وتحول لجهاز دائم يجتمع بانتظام كل ثلاث سنوات، وشهد المؤتمر الأول ولادة مجموعة ال ٧٧ وهي المجموعة التي ترمز إلى تكتل العالم الثالث على أساس اقتصادي وليس سياسي في مواجهة الدول المتقدمة، وركز المؤتمر على بلورة المباديء التي يجب أن تسير عليها الدول في معاملاتها التجارية وعلى مبدأ عدم التمي يز في المعاملات التجارية."
"Under-Information","شح المعلومات","وهي مشكلة ندرة المعلومات وقلتها في الماضي، والتي وفرها الطريق السريع للمعلومات وشبكات الكمبيوتر وأصبحت في الوقت الحاضر إفراط المعلومات Over- Information."
"Underground Press","الصحافة السرية","وهي صحافة لا تعلن عن مصدرها ولا تبوح باسم الجهة التي تمولها وتعمل على إشاعة البلبلة وحرب الأعصاب والتشكيك والتحريض على التمرد. وهناك الصحافة الصفراء Yellow Journalism وهي من أنواع الصحف، والتي تؤكد على الموضوع ات الفاحشة والمكشوفة والمثيرة، وهناك صحافة الإثارة الإخبارية Journalism Sensational وهي صحف تعيش على الرأي العام اليومي، فهي تتلقف الأحداث اليومية الهامة وتجعل منها العناوين الضخمة لجذب انتباه القراء وإثارة اهتمامهم."
"UNDP United Nations Development Programe","برنامج الأمم المتحدة للتنمية","تم إنشاء هذا البرنامج عام ١٩٦٥ م ضمن أنشطة الأمم المتحدة، عن طريق دمج البرنامج الموسع للمعونة الف نية مع الصندوق الخاص، ولا يمول المشروعات بالكامل وإنما تساهم الدول النامية بجزء في إقامة المشروعات على أرضها."
"UNEF","قوات الطواريء الدولية","قوات الطواريء الدولية هي قوات تشكلت بموجب قرار الجمعية العامة للأمم المتحدة ١٠٠٠ في ٥ نوفمبر ١٩٥٦ م بتشكيل قوات طواريء دولية للإشراف على تنفيذ قرار وقف إطلاق النار في منطقة قناة السويس ومرا قبة تنفيذ القوات البريطانية الفرنسية الإسرائيلية لانسحابها من الأراضي المصرية وسيناء، وكانت هذه أول مرة يتم تشكيل قوات دولية عسكرية، وبلغ قوامها ٦٠٧٣ جنديا، وتم سحب هذه القوات أثناء أزمة ١٩٦٧ م، وتوالت عملية تشكيل قوات طواريء دولية في مناطق مختلفة في العالم، ومنها قوات الطواريء الثانية UNFE ٢ في سيناء، والتي شكلت عقب حرب ١٩٧٣ م وبلغ مجموع هذه القوات ٦٩٧٣ فردا ً وأنهت مهمتها بعد توقيع اتفاقية السلام المصرية الإسرائيلية عام ١٩٧٩ م.."
"Unemployment","البطالة","البطالة هي التوقف عن العمل أو عدم ممارسة العمل أصلا ً لظروف الركود أو الكساد بصرف النظر عن القدرة أو عدم القدرة على العمل، ولكن التحديد الدقيق لمفهوم البطالة لابد أن يكون صاحبها عاطلا ً عن العمل وأن يكون قادرا ً عليه وأن يبحث عن فرصة العمل في مست وى الأجر السائد فلا يجدها، ولها أنوع عديدة."
"UNEP United Nations Environment Programme","برنامج الأمم المتحدة للبيئة","وهو برنامج تابع للجمعية العامة للأمم اىلمتحدة، أنشيء كنتيجة لمؤتمر الأمم المتحدة حول بيئة الإنسان الذي عقد في استوكهولم عام ١٩٧٢ م، ومقر البرنامج الرئيسي في نيروبي العاصمة الكينية."
"Unequal Treaties","معاهدات غير متكافئة","وهي المعاهدات التي توقع بين طرف قوي وطرف ضعيف، أو عقب الهزيمة العسكرية لإحدي الدول مع الدولة أو الدول المنتصرة، فهي معاهدات تفرض على الطرف الضعيف وتقلل من سيادته واس تقلاله، وتفرض عليه امتيازات لرعايا الدول المنتصرة."
"UNHCR United Nations High Commissioner For Refugees","مفوضية الأمم المتحدة لشئون اللاجئين","وهي إحدي هيئات الأمم المتحدة التي تعمل لغوث اللاجئين في أنحاء العالم بسبب الحروب أو الكوارث أو الاضطهاد، وترعي المفوضية أكثر من من اثني عشر مليون لاجيء في بداية الثمانينات من القرن الماضي من مختلف أنحاء العالم فيما عدا الشرق الأوسط الذي ترعى لاجئيه وكالة الأمم المتحدة لغوث وتشغيل اللاجئين الفلسطينيين، وأنشئت هذه المفوضية عام ١٩٥١ م وحلت محل المنظمة الدولية للاجئين IRO."
"Unifisation","التوحيد","أنظر: التنميط أنظر التنميط"
"Uniformalisation","التنميط","لفظ يطلق علىاستغلال ثورة وشبكة الاتصالات العالمية الجبارة وهيكلها الاقتصادي الانتاجي بعماده المتمثل في شبكات نقل المعلومات والسلع وتحريك رؤوس الأموال ونقل مفهوم الدي مقراطية لنشر الثقافة الأمريكية فقط والتوزيع الإجباري لأنماط الثقافة الأمريكية على العالم أجمع، وذلك من أجل التوحيد Unifisation العالمي للثقافة والانتاج والاقتصاد والسياسة بالمفهوم الأمريكي."
"Unionist Domination","هيمنة اتحادية","وهو مصطلح يطلق على السياسات التي تتبعها أكبر وأقوى الأطراف في اتحاد فيدرالي ضد الأطراف الأخري بقصد فرض النفوذ بالقوة، من خلال فرض السيطرة الفعلية في أجهزة الاتحاد، كما حدث في يوغسلافيا من جانب الصرب وفي تشكيسلوفاكيا والاتحاد السوفيتي من ج انب الروس... وغبرها.    حرف الواو"
"Unionization","نقابات العمال","هي الاتحادات العمالية التي تعمل على الدفاع عن مصالح العمال ضد مصالح وأطماع أرباب الأعمال، وهي التي تنظم المطالب العمالية من رفع الأجور والحصول على الحقوق المختلفة وتنظم الاضرابات والتوقف عن العمل وغير ذلك من الوسائل لحماية العم ال وحقوقهم."
"United Nation, Conference On Human Environment (UNCHE)","مؤتمر الأمم المتحدة حول بيئة الإنسان","وهو أول مؤتمر دولي حول البيئة عقد في استوكهولم عام ١٩٧٢ م، ومثل بداية الاهتمام العالمي بالبيئة والتراث الطبيعي للبشرية، وترتب على انعقاد المؤتمر إنشاء برنامج الأمم المتحدة للبيئة."
"United Nations","الأمم المتحدة","هي المنظمة الدولية الحاكمة) فوق أممية (في عالم اليوم، أُنشئت عام ١٩٤٥ طبقا ً لاتفاقية سان فرانسيسكو وبدأت نشاطها على المستوى الدولي في بداية عام ١٩٤٦ م، وتضم الآن نحو مائتي عضو بعد انضمام سويسرا الدولة المحايدة، ومقرها نيويورك ولها مقر أوربي في جنيف، ومن أ جهزتها الرئيسية الجمعية العامة ومجلس الأمن ومحمكة العدل الدولية في لاهاي وغيرها من التنظيمات الدولية."
"United Nations Childern,s Fund (UNICEF)","صندوق الطفولة التابع للأمم المتحدة","وهو هيئة دولية تختص بشئون الطفولة ورعايتها في مختلف أنحاء العالم."
"United Nations Conference On International Organization","مؤتمر الأمم المتحدة للتنظيم الدولي","وهو المؤتمر التأسيس للأمم المتحدة الذي عقد في مدينة سان فرانسيسكو الأمريكيةعام ١٩٤٥، م والذي أسفر عن قيام المنظمة الدولية) الأمم المتحدة (بنظامها الحالي بعد انقسامات ومناقشات متعددة."
"United Nations High Commissioner For Human Right (UNHCHR )","مفوض سام لحقوق الإنسان بالأمم المتحدة","قامت الجمعية العامة للأم م المتحدة بتعيين مفوض سام لحقوق الإنسان بناء على قرارها رقم ١٤١ لعام ١٩٩٣ م، وهذا المفوض السام يعتبر المسئول عن وضع سياسات متماسكة ودعم التنسيق في ميدان حقوق الإنسان وتعزيز قدرة الأمم المتحدة على الإسهام بشكل أكبر في توفير الحماية قدر الإمكان والتأكد من احت رام هذه الحقوق."
"United NationsChildern,s Fund (UNICEF)","يونيسيف / أنظر صندوق الطفولة التابع للأمم المتحدة","الخاتمة هذا القاموس السياسي الميسر تم بحمد االله ورعايته ليكون خدمة ثقافية للكبير قبل الصغير وللرجال قبل الأطفال والشباب، وللمرأة قبل الرجل، وللعامة قبل المتخصصين، وللقادمين على الاختبارات السياسية والدبلوماسية وكذا المقدمين على المق ابلات الشفوية التي تحتاج إلى غزارة في خل بالمعانيالمعلومات مع التبسيط غير الم... ولكن.. إذا كان هناك نقص في معلومة أو في هدف، فإنك ستجد سلسلة مقبلة تتمة لهذا الموضوع الهام مثل: موسوعة الدول والبلدان وهي موسوعة جغرافية سياسية شاملة تعرفنا بالبلدان والدول والمصطلحات الدولية والمنظمات في الوضع الحالي الذي نعيش خلاله في عالمنا المعاصر.. الموسوعة الاقتصادية والاجتماعية.. لتتم بعض المصطلحات الضرورية في حياتنا المعاصرة، لأن السياسة والاقتصاد والاجتماع تشابكوا في العالم المعاصر بدرجة كبيرة للغاية ولا يمكن الف صل بينهم بسهولة... موسوعة مصطلحات حقوق الإنسان، التي تقدم لأول مرة في عالمنا العربي والتي من خلالها نتعرف على حقوقنا وواجباتنا، حيث أن حقوق الإنسان أصبحت سمة العصر.. نأمل أن نكون قد أوفينا لرغبات الكثير من الشباب والنساء في تقديم هذه الموسوعة الشاملة ال ميسرة، وباالله التوفيق... المؤلف / قويسنا ٢٠٠٥ م المراجع: ١. أحمد زكي بدوي، معجم مصطلحات الإعلام، القاهرة، دار الكتاب المصري / اللبناني، ١٩٨٥ م. ٢. إريك موريس وآلان هو، الإرهاب والتهديد بالرد عليه، ترجمة أحمد حمدي محمود، القاهرة، مكتبة الأسرة، الهيئة المصرية ال عامة للكتاب، الأعمال الفكرية، ٢٠٠١ م. ٣. بيتر تيلور وكولن فلنت، الجغرافيا السياسية لعالمنا المعاصر، ترجمة عبد السلام رضوان وإسحق عبيد، الكويت، المجلس الوطني للثقافة والفنون والآداب، سلسلة عالم المعرفة، رقم ٢٨٢ / يونيو ٢٠٠٢ م. ٤. بيتر غيل وجيفري بونتون: مقدمة في عل م السياسة، ترجمة محمد مصالحة، عمان، منشورات الجامعة الأردنية، عمادة البحث العلمي، ٩١ /١، ١٩٩١ ٠م ٥. جلال أمين، العولمة، القاهرة، دار المعارف، سلسلة اقرأ، العدد ٦٣٦، ١٩٩٨ م. ٦. حسن نافعة، الأمم المتحدة في نصف قرن: دراسة في تطور النظام الدولي منذ عام ١٩٤٥ م، الكويت، المجلس الوطنى للثقافة والفنون والآداب، سلسلة عالم المعرفة، رقم ٢٠٢ / أكتوبر ١٩٩٥ م. ٧. حسين شريف: الولايات المتحدة من الاستقلال والعزلة إلى سيادة العالم، ج ٥، تحديات القرن الحادي والعشرين للسيادة وانعكاسات الإرهاب الدولي على الولايات المتحدة، القاهرة، الهيئة المصرية العامة للكتاب، ٢٠٠١ م. ٨. سعيد نجيدة، العولمة وحرية الإعلام، القاهرة، ظافر للطباعة، ٢٠٠٠ م. ٩. فرانك كيلش، ثورة الأنفوميديا: الوسائط المعلوماتية وكيف تغير عالمنا وحياتك، ترجمة حسام الدين زكريا، الكويت، المجلس الوطني للثقافة والفنون والآداب، سلسلة عالم المع،رفة رقم ٢٥٣، يناير ٢٠٠٠ م.. ١٠ كمال المنوفي: نظريات النظم السياسية، الكويت، وكالة المطبوعات،١ ط، ١٩٨٥ ٠م. ١١ محمد عتريس، معجم بلدان العالم: جغرافي، سياسي، اقتصادي، تاريخي، القاهرة، الدار الثقافية للنشر، ٢٠٠٢ م.. ١٢ مصطفى عبد الغني، معجم مصطلحات التاريخ العربي الحديث والمعاصر، القاهرة، الهيئة المصرية العامة للكتاب، ٢٠٠٣ م."
"United States Of Amerca","الولايات المتحدة الأمريكية","هي أقوى دول العالم قاطبة، وتقع في وسط أمريكا الشمالية، وتتكون من خمسين ولاية ذات استقلال ذا تي كما نص على ذلك دستور الدولة الاتحادية الصادر عام ١٧٨٧ م وعاصمتها واشنطن D C وبها منظمة الأمم المتحدة بنيويورك، وتلعب دورا ً محوريا ً في مشاكل واقتصاد وسياسة العالم المعاصر منذ الحرب العالمية الثانية وحتى الآن، مساحتها تبلغ ٩٣٧٢٥٧١،٢كم وعدد سكانها حوالي ٢٧٥ مليون نسمة، وعملتها الدولار الأمريكي، وهي دولة ذات نظام رئاسي ديمقراطي يحكمها رئيس الجمهورية ومجلسا الكونجرس النواب والشيوخ، ويحد الولايات المتحدة المحيط الأطلنطي شرقا والمحيط الهادي غربا ً ومن الشمال كندا ومن الجنوب خليج المكسيك ودولة المكسيك، مع ملاحظة أن هذه الحدود لعدد ٤٨ ولاية فقط، أما الولاية ال ٤٩ فهي ألاسكا فتقع في الشمال الغربي لقارة أمريكا الشمالية شمال كندا، والولاية الخمسون هي هاواي وهي عبارة عن عدة جزر تقع وسط المحيط العادي على بعد حوالي ٣٥٠٠ كم غربي كاليفورنيا، ومن أهم أنهار أمريكا هدسون وديلاور وبوتوماك وأوهيو وتنيسي والمسيسبي وميسوري وإلينوي وأركنساس وكولومبيا ورد ووسكونس وأيوا وغيرها وبها سلسلة جبال الأبلاش وجبال روكي والبحيرات العظمي، وواستقلت الولايات المتحدة عام ١٧٧٦ م."
"Uniting For Peace Resolution","قرار الاتحاد من أجل السلام","هو قرار اتخذته الجمعية العامة للأمم المتحدة في ٣ نوفمبر ١٩٥٠ م وأقرته بأغلبية ٥١ صوت ضد ٥ أصوات فقط ويشير إلى حق الجمعية العامة، في حالة فشل مجلس الأمن في تحمل مسئولياته بسبب عدم تحقق الإ جماع بين الدول الخمس دائمة العضوية، أن تنظر في كل المسائل التي تشكل تهديدا ً للسلم أو خرقا ً له أو في حالة وقوع عدوان، واقتراح ما تراه من توصيات بشأنها بما في ذلك التوصية باستخدام القوة المسلحة، وهذا القرار كانت وراءه الولايات المتحدة الأمريكية وذلك من أجل تحاشي استخدام الاتحاد السوفيتي لحق الفيتو بكثرة للدفاع عن مصالحه في مواجهة التكتل الأمريكي ضده ونجحت في إصداره"
"UNRR","وكالة الأمم المتحدة للغوث والتأهيل","أُنشئت عام ١٩٤٣، حيث أقامتها ثلاث وأرب عون دولة، وتسيطر الولايات المتحدة عليها، وهدفها منح المعونة الغذائية لضحايا الحرب، وكانت المعونة مشروطة بألا تستخدم كسلاح سياسي وألا يجري التمييز لأسباب عنصرية أو دينية أو سياسية، ورغم ذلك كانت الاعتبارات السياسية تسيطر على عمل هذه الوكالة."
"UNRWA Relief And Works Agency For Plestine Refuges In The Near East","وكالة غوث وتشغيل اللاجئين الفلسطينيين","هي وكالة دولية أنشأتها الأمم المتحدة عام ١٩٤٩ وبدأت نشاطها عام ١٩٥٠ م كهيئة مؤقتة لمساعدة اللاجئين الذين فقدوا ديارهم في حرب ١٩٤٨ م، وقدمت خدمات جليلة للشعب الفلسطيني في مجالات التعليم والتدريب المهني والصحة وخدمات الإغاثة وما زالت تمارس نشاطها حتى الآن، وتطورت أنشطتها حتى بلغت ميزانيتها مع بد اية التسعينات من القرن الماضي نحو ٢٥٠ مليون دولار سنويا ً."
"Utopia","يوتوبيا","هي المثاليات السياسية أو النظريات التيت هدف إلى إبراز وتمجيد الحالة الطبيعية الفطرية للبشر."
"Valley Of The Kings","وادي الملوك","هو وادي يقع في الشمال من قمة الجبل الغربي لمدينة طيبة) الأقصر (يبدأ بواديان ثم يلتقيان بعد ذلك، ويضم ٦١ قبرا ً لملوك حكموا مصر من تحوتمس الأول إلى رمسيس الحادي عشر، وقلب ال وادي أطلق عليه مكان الحقيقة. وهناك وادي الملكات Valley Of The Queens والذي أطلق عليه الأقدمون مكان الجمال، وهو الموضع النسائي من وادي الملوك."
"Valley Of The Queens","واوا دي الملكات","أنظر: وادي الملوك"
"Value","القيمة","هي قدر الشيء وما يساويه وثمنه ماديا ً كان الشيء أو معنويا ً، وتتحدد قيمة الشيء على أساس ندرته وما يحققه من نفع أو سعادة أو ما بذل فيه من عمل، وهي قد تكون المثل العليا والأفكار التي لها وزن في المجتمع.    حرف الكاف"
"Values","القيم","هي أولى عناصر البناء الاجتماعي، وتمثل الصفات والمثاليات المرغوب فيها للفعل الاجتماعي الذي يطمح الناس إليها ويتطلعون لها. وهناك القيم الروحية Spiritual Faith و هي أهم العناصر الإنسانية التي يجب أن تعمل في توافق وتكامل وتناسق، وهذه العناصر هي القيم الروحية والإرادة الذهنية Mental Will والطاقة الحيوانية Animal Energy ، والقيم الروحية هي المعتقدات الغيبية التي يعتقدها الإنسان من ديانات وعقائد، وهي التي تضفي على حياته البهجة والسرور نتيجة الاعتقاد بالسعادة في الدنيا والآخرة. وهناك القيم الشخصية Personal Values وهي القيم ال تي تتركز بين مجموعة من الأفراد في مهنة واحدة أو مجموعة عرقية أو أقلية في المجتمع، ولا تنتشر بين كافة الشعب والجماهير."
"Virtual Community","المجتمع الإفتراضي","اسم كتاب هام من تأليف هوارد راينجولد Howard Rheingold وهو بعنوان: المجتمع الافتراضي... الحياة في ظل التقدم الاليكتروني Virtual Community: Homesteading On Electronic Frontier ويعلن الكتاب أن ما يحتاجه الناس هو إيجاد فرصة لتكوين علاقات مع جيرانهم المتواجدين في أماكن نائية من القرية العالمية، ولو عبر الشبكات الاليكترونية."
"Vital Interest","المصالح الحيوية","المصالح الحيوية هي التي توجب اخضاع منطقة بحرية فيما وراء البحر الأقليمي لدولة ما لسيادة هذه الدولة، إذ تقضي اعتبارات المحافظة على الثروة القومية للدولة والمحافظة على سلامتها وأمنها مباشرة الدولة لسيادتها على هذه المنطقة."
"Voluntarism","الطوعية","وهي فكرة تجعلنا نتصور أن الإنسان فاعلا ً باستمرار، باعتباره كائنا ً إيجابيا ً وليس سلبيا ً، فهو ليس مجرد مستجيب لدوافع بيولوجية أو مطالب اجتماعية، ولكنه يخلق المعاني ويبادر بأنماط للفعل والسلوك ويفسر المواقف ويسيطر على المجال الذي يعيش فيه.    حرف ال اءاءظ"
"Voluntry Associations","المنظمات الطوعية","وهي المنظمات التي تعمل عن طريق العمل التطوعي الفئوي أو الاج تماعي، مثل النقابات والجمعيات الأهلية، وهي تشارك في السلطة من أجل استقرار النظام السياسي الديمقراطي، وهي تساهم في الحد من الصراع الاجتماعي داخل المجتمع ٠"
"Voting","تصويت","وهو حق لكل مواطن أن يبدي رأيه لاختيار ممثليه في الانتخاباتس واء أكانت برلمانية لاختيار نواب الشعب أو محلية أو نقابية، وتكون نتيجة التصويت اختيار الممثلين بدقة ليعبروا عن إرادة الشعب في كافة المجالس المنتخبة، ويعطى المتخلفون عن الانتخابات شهادات التغيب Absence Certificates ، ومكان التصويت هو حجرة الاقتراع Voting Booth. وهناك التصويت التفويضي Proxy Voting وهو تفويض شخص للتصويت بدلا من آخر أو بدلا من عائلته، وهو أسلوب غير قانوني ولكنه شائع في الانتخابات الروسية. وهناك التصويت المرجح Weighted Voting وهو التصويت الذي يعطي لكل عضو وزن نسبي نظير قوة مساهمته في المنظمة أو بحسب أسهمه فيها، مثل التصويت في كل من البنك الدولي وصندوق النقد الذي يمنح كل دولة عضو وزنا ً يتناسب مع حجم إسهامها في رأس المال، مما جعل السيطرة على عملية صنع القرار فيهما يؤول إلى الدول الغنية الرأسمالية الكبرى في ظل غياب الدول الاشتراكية والشيوعية عن الانضما م لهما."
