id,term,definition,source_file
1114,interior shooting,داخلي تصوير,معجم المصطلحات الاعلامية
1115,intermission film seu,فلم,معجم المصطلحات الاعلامية
1116,internal affairs,شؤون داخلية,معجم المصطلحات الاعلامية
1117,International serials aur,نظام سلاسل الدولي,معجم المصطلحات الاعلامية
1118,international,رقم المعياري للكتاب رقم يعرف ويشخص كل كتاب على الصعيد الدولي),معجم المصطلحات الاعلامية
1119,international,رقم سلاسل,معجم المصطلحات الاعلامية
1120,International,ال الذولية,معجم المصطلحات الاعلامية
1121,interpretive,صححافة الرأي يغلب فيها فيها الرأي الرأي والتحليل على الأخخبار والأنبا,معجم المصطلحات الاعلامية
1122,ob pe,داخبلي,معجم المصطلحات الاعلامية
1123,Interview,مقابلة,معجم المصطلحات الاعلامية
1124,interviewee ey,الشخحص الذي عليه الأسلة المقابلة) في,معجم المصطلحات الاعلامية
1125,interviewer,الشخص الذي يُطرّح الأسعلة المقابلة) في,معجم المصطلحات الاعلامية
1126,interviewing ois,المقابلة,معجم المصطلحات الاعلامية
1127,in-transit media,صحافة المسافرين (حرائد وبملات لمديها شركة النقل للمسافرين عبر خطرطها),معجم المصطلحات الاعلامية
1128,introduction eat,إصدار,معجم المصطلحات الاعلامية
1129,introductory offer,هديّة الإصدار,معجم المصطلحات الاعلامية
1130,inverted pyramid,(ال..)المقلوب هرم المسشحدات),معجم المصطلحات الاعلامية
1131,investigative,صحافة التحقيقات,معجم المصطلحات الاعلامية
1132,invisible cut; we ij,خفي,معجم المصطلحات الاعلامية
1133,iris aperture,فتحة السلجاف ذال,معجم المصطلحات الاعلامية
1134,irisin,قح دائري,معجم المصطلحات الاعلامية
1135,jris out ge,دائري,معجم المصطلحات الاعلامية
1136,irony journalism,صحافة ساخرة,معجم المصطلحات الاعلامية
1137,issue audience,العدد (دورية),معجم المصطلحات الاعلامية
1138,item,"هقال, موضوع",معجم المصطلحات الاعلامية
1139,jam packed paper Bus,بالأحداث جريدة حافلة بالأحداث,معجم المصطلحات الاعلامية
1140,jammer the,تشويش,معجم المصطلحات الاعلامية
1141,jamming,تشويش,معجم المصطلحات الاعلامية
1142,jingle,لازمة إعلاتية» لازمة إشهارية,معجم المصطلحات الاعلامية
1143,joint advertising,إعلان مشترك المشا ركون فيه تسديد نفقاته),معجم المصطلحات الاعلامية
1144,joint declaration Oly,مشترك,معجم المصطلحات الاعلامية
1145,joint venture,مشترّك مشروع,معجم المصطلحات الاعلامية
1146,journal pr,صححيفة»,معجم المصطلحات الاعلامية
1147,journalese,أسلوب صحفي,معجم المصطلحات الاعلامية
1148,journalism Bro,دراسة الصحافة,معجم المصطلحات الاعلامية
1149,journalist; reporter,صحفي,معجم المصطلحات الاعلامية
1150,journalist statut,قانون الصحئي وضع عل,معجم المصطلحات الاعلامية
1151,journalistcard,بطاقة المتحفي,معجم المصطلحات الاعلامية
1152,journalistic campaign Ue,صحفية,معجم المصطلحات الاعلامية
1153,journalists’ council ins otal,مجلس الصحفين (هيئة تدافع في آداب المهنة» عن,معجم المصطلحات الاعلامية
1154,journalists’ union,نقابة الأساس للصحفيين) تنظيم يدافع في عن المصالح,معجم المصطلحات الاعلامية
1155,journats(the) pas,الجلسات,معجم المصطلحات الاعلامية
1156,judicial deposit,إبداع(ال...) القضائي يقضي بإبداع كل حريدة لدى الابتدائية نسخ من لإطلاع العامة على 0م06,معجم المصطلحات الاعلامية
1157,jump,انقطاع مفاجئ,معجم المصطلحات الاعلامية
1158,jump cut; shot cut,قفرة في التصوير إشارة قلب الصفحة أو (إشارة في صحيفة القارئ على صفحة لاحقة لمتابعة,معجم المصطلحات الاعلامية
1159,just published,أخيراً صدر,معجم المصطلحات الاعلامية
1160,keep in the dark,خير,معجم المصطلحات الاعلامية
1161,keeper,مقال ل احتياطى» برنامج,معجم المصطلحات الاعلامية
1162,keeper of the records,مقرّرء كاتب طبصلا,معجم المصطلحات الاعلامية
1163,key,"مفتاح» زر إشارة, كتاب الأحوبة) كناب",معجم المصطلحات الاعلامية
1164,key light,إضاءة رئيسية,معجم المصطلحات الاعلامية
1165,key shot,لقطةرئيسة,معجم المصطلحات الاعلامية
1166,key title,المفتاح,معجم المصطلحات الاعلامية
1167,keyhole journalism Dire,الفضائ صصحافة لا تراعي على أسرار المشاهير الشخصية وتنشرها إشباعا لفضول القراء»,معجم المصطلحات الاعلامية
1168,keyword cit,كلمة,معجم المصطلحات الاعلامية
1169,kicker edhe,ل» صورة» ان عنوان صورة عنو مثير,معجم المصطلحات الاعلامية
1170,Kill passage(to),أسقط ففرة كشك ناقد شرس,معجم المصطلحات الاعلامية
1171,knockof copy;,عقال غير مقبول,معجم المصطلحات الاعلامية
1172,know-how,دراية,معجم المصطلحات الاعلامية
1173,knowledge,معرفة(ال...2),معجم المصطلحات الاعلامية
1174,label UE le,"علامة تجارية,",معجم المصطلحات الاعلامية
1175,music track PP,صوت هجاء,معجم المصطلحات الاعلامية
1176,lampoon; satire,لغة,معجم المصطلحات الاعلامية
1177,lapel mike,لاقط,معجم المصطلحات الاعلامية
1178,lapse of copyright ASS,سقوط حقرق تسقط التأليف حقوق بعد حمسين سنة على وفاة,معجم المصطلحات الاعلامية
1179,large circulation,انتشار واسع حريدة تطبع كبيرا النسخ) وتوزع وتبيع عددا من,معجم المصطلحات الاعلامية
1180,screen,شاشة عريضة,معجم المصطلحات الاعلامية
1181,laser,ليزر (أشعة فائقة الت ركيز),معجم المصطلحات الاعلامية
1182,last telecast (TV),برنامج(ال...) الأخير طبعة (ال...)الأخيرة,معجم المصطلحات الاعلامية
1183,(TV),فترة الركود تكون عموماء هذه الفترة بعد منتصف الليل وفيها ينحفض عدد لمتابعين),معجم المصطلحات الاعلامية
1184,fatest news pT,أخبار ساعة عل,معجم المصطلحات الاعلامية
1185,launching campaign,حملة الاصدار,معجم المصطلحات الاعلامية
1186,ceremony,حفل الإصدار,معجم المصطلحات الاعلامية
1187,interstitial,برنامج وبط برنامج لملء الفراغ برناحين وغالبا ما يكون بين,معجم المصطلحات الاعلامية
1188,influential paper,جريدة ذات نفو,معجم المصطلحات الاعلامية
1189,cy‏,ميكا بايت يساوى كيلو بايت يساوى ميكا بايت مليار وأكثر الوحدات انتشارأ هى وحدة الميكا بايت لحساب أو وحدة التخزين الأساسية فى الحاسوب الصغير,معجم المصطلحات الاعلامية
1190,mpbiet format. compile artitles on,والإبداع بواسطة تكنولوجيا الاتصالات والمعلومات الصناعية المعاصرة على المعلومات للفكر الذكاء الإنساتي وتغيير التى بصورة خاصة الذى عاملا فى مجتمع المعلومات حاسما شكل إلى هذا الارتقاء أن يجب ولابد على شكل ما من أشكال الإبداع الإنساني دفع و الستة التاسعة ف,معجم المصطلحات الاعلامية
1191,OG sh Ne,و,معجم المصطلحات الاعلامية
1192,Cony,عداو لائحة ائحة التوزيع ي»,معجم المصطلحات الاعلامية
1193,line (product),إنتاج,معجم المصطلحات الاعلامية
1194,ce,٠. عم ربط الإرسال,معجم المصطلحات الاعلامية
1195,location director,لخ,معجم المصطلحات الاعلامية
1196,communication,الصغيرة جدأ فى نقل المعلومات فى نمط ثنائى وحدة قياس سرعة المعلومات والاتصالات الرقمية السنة التاسعة ف,معجم المصطلحات الاعلامية
1197,"fa) LY ato Aw, uy ON OR",ل لعي ل,معجم المصطلحات الاعلامية
1198,letterhead,#آ,معجم المصطلحات الاعلامية
1199,oo,الإذاعة والتلفزة),معجم المصطلحات الاعلامية
1200,Cyberspace‏,فضاء صناعى حول العالم بواسطة الحاسوب التكنولوجية المتقدمة والتى تسمى تكنولوجيا ١ والمصطلح المذكور يعود أساسا إلى مصطلح الأحسسن تسميتها البنية الأساسية لمعلومات العولمة الأخرى لهذه البيئة فهى تصنع تشتمل على كل من الفاكس وكذلك برامج المنوعات الراديو والتلفزيون دمجها أو تكاملها وعدم اشسارات إلى استخدام جميع عمليات ترميز البيانات شسكل رقمية لغرض عملها بواسطة المعانى الشاملة بصورة خاصة المعلومات الرقمية بتحديد المتطابقة والستقدم الكبير الآخر يتمثل فى قدرة ء للأرقام غيسر المحدودة فى الوقت ذاته ومن دون فقدان الأصل مجلة البحوث الاعلامية,معجم المصطلحات الاعلامية
1201,EPH ale,البحوث الاشلامية العدد,معجم المصطلحات الاعلامية
1202,LOSES ES,بشني وار م,معجم المصطلحات الاعلامية
1203,lead actor tenemay du,الأول» دور (ال...)الأول,معجم المصطلحات الاعلامية
1204,re),بقة ة كة الشفاه الشفاه الصر ث فلم) حجر,معجم المصطلحات الاعلامية
1205,"ye, a, io)",ون فا ل,معجم المصطلحات الاعلامية
1206,bale‏ aly”‏,المبدئية الأولية أي للحاسوب يعبر بايت يساوى حرف كيلو بايت يساوى بايت بايت,معجم المصطلحات الاعلامية
1207,cople remaniée pour I'édition suivante,م,معجم المصطلحات الاعلامية
1208,on,فى القصة المقال النص أو أو الفيديو حيث الطول من والمساحة المطلوبة من تقطبيع المسجل عليه ذاته أخذت من آلتى تصوير ومن ثم تظهر الصورة السنة العاسعة ف,معجم المصطلحات الاعلامية
1209,ga Seah wey,(إضريبة تسةك تستخلصها في مالكي الدولة بعض البلدان من أجهزة التلفاز),معجم المصطلحات الاعلامية
1210,of ale Ke,لد ال ل,معجم المصطلحات الاعلامية
1211,Authority,هيأة الإذاعة,معجم المصطلحات الاعلامية
1212,union al),اتحاد إذاعات الدول الوكالة التونسية للإنترنت شبكة تلفزيون آسيا هيأة الإذاعة البريطائية الإذاعة الفضائية البريطانية مجلس المقاييس الإذاعة الفضائية البريطائية مؤسسة الاتصالات الإذاعيد مصطلحات اتصالية وإعلامية بتة الثنائى مصطلح يشير إلى العناصر تقليص الرقم فى مشل أو تكنولوجيا النقل البتة فى الثانية الواحدة هى,معجم المصطلحات الاعلامية
1213,fight and sound show pally,عُررْض المئوت,معجم المصطلحات الاعلامية
1214,byte can therefore have different,"الفضاء الصنعى جزء من بيئة الاتصالات المعلومات المتقدمة المعاصرة البناء الأساسى للمعلومات القومية التى من والسبب لأنها ذات منظر عالمى العناصر المادية والبرمجيات جميع تلك التى تملك قدرة دمج الوظائف. ,للع المرئيات معلومات الفيديى فى صيغة( ٠ ٠ الحاسوبية واستخدامها لتطبيقات وسائط الإعلام غير مترابطة وهى تلك المعلومات الرقمية على التطابق المزدوج. أى شىء من كفائتها فى علاقتها مع السنة التاسعة ف العدد المردوج",معجم المصطلحات الاعلامية
1215,oe listening habits,عادات الاستماع,معجم المصطلحات الاعلامية
1216,corporation,هيأة الإذاعة اتحاد إذاعات وكالة للسثقافة والتعاون ىنقتلا وكالة الصحافة الفرنسية راديى عموم الهند مجتمع المعلومات الافريقى وكالة التلفزيون العالمية جمعية امريكا اللاتينية للتعليم الجمعيسة العالميسة لإذاعسات هيأةٌ الإعلام العربى مركسز المعسلومات وبحسوث الاتصال جمعية للاتصال المتقدم خدمة الصحافة الجزائرية وتلفزيون العرب,معجم المصطلحات الاعلامية
1217,law,قانرن,معجم المصطلحات الاعلامية
1218,law report,أخبار فضائية,معجم المصطلحات الاعلامية
1219,layout; make-up,إخراج (صفحات الكريدة),معجم المصطلحات الاعلامية
1220,layout artist,(صفحات,معجم المصطلحات الاعلامية
1221,Ia tat,مصممء ترج,معجم المصطلحات الاعلامية
1222,lead,استهلاك: مقال,معجم المصطلحات الاعلامية
1223,lead headline,الصّدارة عنوان يتصدّر أو عنوان رئيسي عريض الصفحة جريدة من,معجم المصطلحات الاعلامية
1224,lead story,مقال,معجم المصطلحات الاعلامية
1225,tead time,أجل التسليم,معجم المصطلحات الاعلامية
1226,leader,بطل (ال...) كناية الذي بالدور الأول» البطولة» عن يقوم دور,معجم المصطلحات الاعلامية
1227,lead-in,مدخل,معجم المصطلحات الاعلامية
1228,leading article,مقال (ال...) الافتتاحي,معجم المصطلحات الاعلامية
1229,leading question,سؤال مُغرض,معجم المصطلحات الاعلامية
1230,leaflet,منشور (ج. منشورات),معجم المصطلحات الاعلامية
1231,leak,تسراب,معجم المصطلحات الاعلامية
1232,learned journal,صحافة علمية,معجم المصطلحات الاعلامية
1233,tecture(a..),مخاضرة,معجم المصطلحات الاعلامية
1234,left-hand page,البسرى,معجم المصطلحات الاعلامية
1235,leg man pe,صحفي واقعة أو حدث),معجم المصطلحات الاعلامية
1236,legal deposit;,إبداع (ال...)القانو (هر إبداع عدد معين السخ عند إصدار: كتب» من بطائق بريدية؛ أسطوانات... لدى المكتبة الوطنية),معجم المصطلحات الاعلامية
1237,legal notes,إعلانات قانونيّة,معجم المصطلحات الاعلامية
1238,legal notices,إعلانات حكوميّة,معجم المصطلحات الاعلامية
1239,legend (eredly,مفتاح,معجم المصطلحات الاعلامية
1240,Jeisure time Al,ركن,معجم المصطلحات الاعلامية
1241,length,طول,معجم المصطلحات الاعلامية
1242,lens,غَدّسة و,معجم المصطلحات الاعلامية
1243,letters to the editor,بريد,معجم المصطلحات الاعلامية
1244,tevel,مستوى,معجم المصطلحات الاعلامية
1245,liability,مخاطر المهنة المسؤولية الي قد يتعرض لا المرء قيامه بواحيات بسبب,معجم المصطلحات الاعلامية
1246,libel action,قذاف دعرى,معجم المصطلحات الاعلامية
1247,library,مكتبة,معجم المصطلحات الاعلامية
1248,library edition,طبعة مجلدة (طبعة بغلاف مقرّىء بالمكتبات العامة في توضم متناول القراء),معجم المصطلحات الاعلامية
1249,library music Mme,هوسيقى موسرقا,معجم المصطلحات الاعلامية
1250,license,إجازة,معجم المصطلحات الاعلامية
1251,lickert scale,ملم في عمايّة,معجم المصطلحات الاعلامية
1252,lifestyle,أساليب العيش (برنامج أو ركن بعادات المتمع وتقاليده ليلس يعن من طبخ وزينة,معجم المصطلحات الاعلامية
1253,light,جهاز الإنارة» م ضوء,معجم المصطلحات الاعلامية
1254,lighting,إضاءة,معجم المصطلحات الاعلامية
1255,limited edition,طبعة (التسخ) محدودة,معجم المصطلحات الاعلامية
1256,limited rights,حقوق محدودة تأليف بلد معيّن أو بحال حقوق في في,معجم المصطلحات الاعلامية
1257,shotgun one:,سلكي,معجم المصطلحات الاعلامية
1258,lineage,أجر,معجم المصطلحات الاعلامية
1259,lineup,الجريدة إلى وترتيب موادها وتنسيق,معجم المصطلحات الاعلامية
1260,lipsynch gat,تزهين مع,معجم المصطلحات الاعلامية
1261,list dod,دليل,معجم المصطلحات الاعلامية
1262,fist,قائمة مراجع,معجم المصطلحات الاعلامية
1263,listening shot;,أقطة استما ا لقطة لشخص يظهر على الشاشة وهو وضع الاستماع) في,معجم المصطلحات الاعلامية
1264,listening time,وقت الاستماع,معجم المصطلحات الاعلامية
1265,literacy,محو الأميّة,معجم المصطلحات الاعلامية
1266,literary column,ركن الأدب,معجم المصطلحات الاعلامية
1267,literary criticism,نقدرال...) الأدي,معجم المصطلحات الاعلامية
1268,literary programme,أدبي برنامج,معجم المصطلحات الاعلامية
1269,literary property,ملكية أدبية,معجم المصطلحات الاعلامية
1270,literature,مطبوعات؛ أدبيات,معجم المصطلحات الاعلامية
1271,live,مباشر,معجم المصطلحات الاعلامية
1272,live broadcast,برنامج مباشر,معجم المصطلحات الاعلامية
1273,live coverage phe,نقل,معجم المصطلحات الاعلامية
1274,five on tape,تسجيل هباشر,معجم المصطلحات الاعلامية
1275,five shooting,صوت مباشر,معجم المصطلحات الاعلامية
1276,five sound,تصوير مباشر,معجم المصطلحات الاعلامية
1277,live transmission,تقل هباشر,معجم المصطلحات الاعلامية
1278,lobby,دائرة الضّغط (لوي),معجم المصطلحات الاعلامية
1279,lobbying fatal,تقنيات حليّة,معجم المصطلحات الاعلامية
1280,focal channel (TV) ale,قناة (في التلفزة),معجم المصطلحات الاعلامية
1281,local correspondent it,هراسل,معجم المصطلحات الاعلامية
1282,local issue,طبعة إقليمية,معجم المصطلحات الاعلامية
1283,local Git,أخبار,معجم المصطلحات الاعلامية
1284,focal paper,صحيفة إقليمية,معجم المصطلحات الاعلامية
1285,local programme,محلي برنامج,معجم المصطلحات الاعلامية
1286,local supplement gt,ملحق,معجم المصطلحات الاعلامية
1287,jocation gre,التصوير (مَوْقع للتصوير الاستودير) التصوير مدير,معجم المصطلحات الاعلامية
1288,location shooting,تصوير,معجم المصطلحات الاعلامية
1289,focation(on),في التصوير,معجم المصطلحات الاعلامية
1290,fog-book,قائمة المشاهد المصوّرة (سينماء تلفزة)» تفصيل مضمرن برنامج(في الإذاعة),معجم المصطلحات الاعلامية
1291,logo,شعار,معجم المصطلحات الاعلامية
1292,long focus lens Lee ab,قد عموقة البؤرة البو,معجم المصطلحات الاعلامية
1293,shot,لقطة لقطة,معجم المصطلحات الاعلامية
1294,long take,طويل تعريض تعريض شريط فوتوغراق للضوء لمدة,معجم المصطلحات الاعلامية
1295,long wave,موجة(ال...)الطويلة,معجم المصطلحات الاعلامية
1296,long-term,اشتراك مُديد (طويل المدّة),معجم المصطلحات الاعلامية
1297,loud,بصوات بتهير,معجم المصطلحات الاعلامية
1298,loudspeaker,الصموت,معجم المصطلحات الاعلامية
1299,low,خالت بصوت,معجم المصطلحات الاعلامية
1300,low-angle; worm's,لقطة سفلية (تصوير نحت إلى فوق» من,معجم المصطلحات الاعلامية
1301,fower(to),صورة,معجم المصطلحات الاعلامية
1302,low-noise amplifier (Ss,الصورت لتكبر الصوت معان شاشة العرض أو نسبة مشهد يراد تصويره),معجم المصطلحات الاعلامية
1303,luxury edition,طبعة فاخرة,معجم المصطلحات الاعلامية
1304,lying advertising epi”,إعلان إشهار ش كاذب كلمات,معجم المصطلحات الاعلامية
1305,lyrics,(أغنية),معجم المصطلحات الاعلامية
1306,macroform,مكبر حجم,معجم المصطلحات الاعلامية
1307,made for act,خصيصا,معجم المصطلحات الاعلامية
1308,mag (magazine) ale,"ملحق الأسبوع بطاقة مغناطيسية, أسطوانة مغداطيسية",معجم المصطلحات الاعلامية
1309,magazine cover de,غلاف,معجم المصطلحات الاعلامية
1310,magazine we,البرامج (إذاعة تلفزة),معجم المصطلحات الاعلامية
1311,magazine rights,حقوق النشر باغجلات حقوق نشر مقال بعد أن تم نشره في حريدة),معجم المصطلحات الاعلامية
1312,magazine,أسبوعي ملحق تلحق غالبا هاية الأسبوع حريدة يومية) بعدد من,معجم المصطلحات الاعلامية
1313,magic hour,(ال..)السخرية فترة نضفي سحراً على المورة) الشروق»,معجم المصطلحات الاعلامية
1314,magnetic media Maal,وسائل الإعلام شرائط» بطائق),معجم المصطلحات الاعلامية
1315,magnetic track lis,بصريّة نسخة,معجم المصطلحات الاعلامية
1316,magpie effect,تسرب عام (تسرب مكتومة إلى,معجم المصطلحات الاعلامية
1317,magtab Lie Ue,تصفي» توفي عناية بنشر صور ذات الشخصيات المشهورة وأخبارها الحميمة وأسرارها بريد,معجم المصطلحات الاعلامية
1318,malt order,بالبريد,معجم المصطلحات الاعلامية
1319,mail order,نشرة بالبريد,معجم المصطلحات الاعلامية
1320,mailer,عبر (دليل أو مطوية البريد),معجم المصطلحات الاعلامية
1321,mailing,بالبريد إعلان,معجم المصطلحات الاعلامية
1322,mailing list,إلائحة,معجم المصطلحات الاعلامية
1323,mailing list profile,مواصفات المرسل إليهم,معجم المصطلحات الاعلامية
1324,main shot (cine),لقطة رئيسة,معجم المصطلحات الاعلامية
1325,main title,عنوان الصدارة (العنوان الأول الذي يتصدّر الأخبار),معجم المصطلحات الاعلامية
1326,maintenance crew,فريق,معجم المصطلحات الاعلامية
1327,major media,وسائل الإعلام الكبرى ف١ الصحافة والإذاعة والتلفزة والسيئما والإعلان),معجم المصطلحات الاعلامية
1328,majors (cine) 1S,كيار بار امنتجين» الأفلام السينمائية),معجم المصطلحات الاعلامية
1329,make; brand,علامة,معجم المصطلحات الاعلامية
1330,make read,لمسات (ال...)الأخبيرة (قبيل الطبع),معجم المصطلحات الاعلامية
1331,makegood,استدراك بحاي (إعلان يعاد إدراحه وقوع أخخطاء في الإصدا بعد مار أل وك,معجم المصطلحات الاعلامية
1332,make-over,نسخة معدلة لأحل (منقحة الطبعة القادمة),معجم المصطلحات الاعلامية
1333,makeu,إخراج م صحفي,معجم المصطلحات الاعلامية
1334,making-up,إخراج (صحافة),معجم المصطلحات الاعلامية
1335,malicious intent,خبيئة,معجم المصطلحات الاعلامية
1336,man on the street,رجل الشارع,معجم المصطلحات الاعلامية
1337,magnetic tape,شريط مُمَانط,معجم المصطلحات الاعلامية
